Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,17,2,1054,1045,1551,1554,UA,184,NA,177,189,NA,-3,9,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,18,3,1046,1045,1545,1554,UA,184,NA,179,189,NA,-9,1,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,19,4,1045,1045,1538,1554,UA,184,NA,173,189,NA,-16,0,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,20,5,1046,1045,1550,1554,UA,184,NA,184,189,NA,-4,1,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,21,6,1147,1045,1640,1554,UA,184,NA,173,189,NA,46,62,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,22,7,1228,1045,1734,1554,UA,184,NA,186,189,NA,100,103,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,23,1,1043,1045,1554,1554,UA,184,NA,191,189,NA,0,-2,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,24,2,1053,1045,1557,1554,UA,184,NA,184,189,NA,3,8,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,25,3,1131,1045,1642,1554,UA,184,NA,191,189,NA,48,46,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,26,4,1043,1045,1556,1554,UA,184,NA,193,189,NA,2,-2,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,27,5,1116,1045,1621,1554,UA,184,NA,185,189,NA,27,31,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,28,6,1429,1045,1947,1554,UA,184,NA,198,189,NA,233,224,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,29,7,1109,1045,1624,1554,UA,184,NA,195,189,NA,30,24,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,30,1,1048,1045,1550,1554,UA,184,NA,182,189,NA,-4,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,31,2,1049,1045,1555,1554,UA,184,NA,186,189,NA,1,4,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,1,7,40,2230,742,515,UA,184,NA,302,285,NA,147,130,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,2,1,2242,2230,535,515,UA,184,NA,293,285,NA,20,12,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,3,2,2229,2230,515,515,UA,184,NA,286,285,NA,0,-1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,4,3,2229,2230,505,515,UA,184,NA,276,285,NA,-10,-1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,5,4,2230,2230,525,515,UA,184,NA,295,285,NA,10,0,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,6,5,2232,2230,533,515,UA,184,NA,301,285,NA,18,2,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,7,6,2228,2230,550,515,UA,184,NA,322,285,NA,35,-2,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,8,7,2235,2230,543,515,UA,184,NA,308,285,NA,28,5,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,9,1,2230,2230,522,515,UA,184,NA,292,285,NA,7,0,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,10,2,2237,2230,536,515,UA,184,NA,299,285,NA,21,7,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
